class id:    0,    class name:                     abbey,    class data number:   232,    accuracy: 37.5
class id:   36,    class name:                  barndoor,    class data number:    26,    accuracy: 32.5
class id:   37,    class name:            baseball_field,    class data number:   115,    accuracy: 60.0
class id:   38,    class name:                  basement,    class data number:    33,    accuracy: 32.5
class id:   39,    class name:                  basilica,    class data number:   120,    accuracy: 35.0
class id:   40,    class name:                   outdoor,    class data number:     9,    accuracy: 12.5
class id:   41,    class name:                  bathroom,    class data number:   513,    accuracy: 80.0
class id:   42,    class name:               batters_box,    class data number:    13,    accuracy: 72.5
class id:   43,    class name:                     bayou,    class data number:    42,    accuracy: 35.0
class id:   44,    class name:                    indoor,    class data number:    36,    accuracy: 25.0
class id:   45,    class name:                   outdoor,    class data number:     9,    accuracy: 0.0
class id:   46,    class name:                     beach,    class data number:   658,    accuracy: 82.5
class id:   47,    class name:              beauty_salon,    class data number:   272,    accuracy: 72.5
class id:   48,    class name:                   bedroom,    class data number:  1192,    accuracy: 75.0
class id:   49,    class name:                     berth,    class data number:    14,    accuracy: 7.5
class id:   50,    class name:        biology_laboratory,    class data number:     2,    accuracy: 0.0
class id:   51,    class name:                    indoor,    class data number:     2,    accuracy: 0.0
class id:   52,    class name:                 boardwalk,    class data number:    28,    accuracy: 52.5
class id:   53,    class name:                 boat_deck,    class data number:    16,    accuracy: 27.5
class id:   54,    class name:                 boathouse,    class data number:     9,    accuracy: 22.5
class id:   55,    class name:                 bookstore,    class data number:    68,    accuracy: 50.0
class id:   56,    class name:                    indoor,    class data number:   232,    accuracy: 75.0
class id:   57,    class name:          botanical_garden,    class data number:   100,    accuracy: 37.5
class id:   58,    class name:                    indoor,    class data number:    69,    accuracy: 60.0
class id:   59,    class name:                   outdoor,    class data number:    21,    accuracy: 52.5
class id:   60,    class name:             bowling_alley,    class data number:   188,    accuracy: 82.5
class id:   61,    class name:               boxing_ring,    class data number:    16,    accuracy: 35.0
class id:   62,    class name:                    indoor,    class data number:    16,    accuracy: 50.0
class id:   63,    class name:                    bridge,    class data number:   451,    accuracy: 62.5
class id:   64,    class name:           building_facade,    class data number:   138,    accuracy: 70.0
class id:   65,    class name:                  bullring,    class data number:    55,    accuracy: 82.5
class id:   66,    class name:            burial_chamber,    class data number:     9,    accuracy: 12.5
class id:   67,    class name:              bus_interior,    class data number:    51,    accuracy: 50.0
class id:   68,    class name:             butchers_shop,    class data number:    79,    accuracy: 70.0
class id:   69,    class name:                     butte,    class data number:    26,    accuracy: 27.5
class id:   70,    class name:                   outdoor,    class data number:   133,    accuracy: 70.0
class id:   71,    class name:                 cafeteria,    class data number:     4,    accuracy: 0.0
class id:   72,    class name:                  campsite,    class data number:   228,    accuracy: 75.0
class id:   73,    class name:                    campus,    class data number:    46,    accuracy: 12.5
class id:   74,    class name:                   natural,    class data number:    58,    accuracy: 32.5
class id:   75,    class name:                     urban,    class data number:   236,    accuracy: 80.0
class id:   76,    class name:               candy_store,    class data number:    98,    accuracy: 47.5
class id:   77,    class name:                    canyon,    class data number:    96,    accuracy: 62.5
class id:   78,    class name:                  backseat,    class data number:    75,    accuracy: 80.0
class id:   79,    class name:                 frontseat,    class data number:    18,    accuracy: 67.5
class id:   80,    class name:                 carrousel,    class data number:   177,    accuracy: 90.0
class id:   81,    class name:                    indoor,    class data number:   296,    accuracy: 92.5
class id:   82,    class name:                    castle,    class data number:   602,    accuracy: 70.0
class id:   83,    class name:                  catacomb,    class data number:    24,    accuracy: 45.0
class id:   84,    class name:                    indoor,    class data number:    85,    accuracy: 55.0
class id:   85,    class name:                   outdoor,    class data number:   324,    accuracy: 52.5
class id:   86,    class name:                    indoor,    class data number:   200,    accuracy: 92.5
class id:   87,    class name:                  cemetery,    class data number:   284,    accuracy: 77.5
class id:   88,    class name:                    chalet,    class data number:   130,    accuracy: 52.5
class id:   89,    class name:            cheese_factory,    class data number:     3,    accuracy: 2.5
class id:   90,    class name:             chemistry_lab,    class data number:    46,    accuracy: 40.0
class id:   91,    class name:                    indoor,    class data number:     3,    accuracy: 0.0
class id:   92,    class name:                   outdoor,    class data number:   115,    accuracy: 60.0
class id:   93,    class name:               childs_room,    class data number:    38,    accuracy: 20.0
class id:   94,    class name:                    indoor,    class data number:    84,    accuracy: 42.5
class id:   95,    class name:                   outdoor,    class data number:   495,    accuracy: 55.0
class id:   96,    class name:                 classroom,    class data number:    78,    accuracy: 47.5
class id:   97,    class name:                clean_room,    class data number:    20,    accuracy: 12.5
class id:   98,    class name:                     cliff,    class data number:    82,    accuracy: 57.5
class id:   99,    class name:                    indoor,    class data number:    62,    accuracy: 75.0
class id:  100,    class name:                    closet,    class data number:   122,    accuracy: 85.0
class id:  101,    class name:            clothing_store,    class data number:   144,    accuracy: 57.5
class id:  102,    class name:                     coast,    class data number:   217,    accuracy: 67.5
class id:  103,    class name:                   cockpit,    class data number:   360,    accuracy: 95.0
class id:  104,    class name:               coffee_shop,    class data number:    39,    accuracy: 7.5
class id:  105,    class name:             computer_room,    class data number:    54,    accuracy: 67.5
class id:  106,    class name:         conference_center,    class data number:     6,    accuracy: 2.5
class id:  107,    class name:           conference_room,    class data number:   442,    accuracy: 67.5
class id:  108,    class name:         construction_site,    class data number:   259,    accuracy: 55.0
class id:  109,    class name:              control_room,    class data number:     2,    accuracy: 0.0
class id:  110,    class name:                   outdoor,    class data number:   210,    accuracy: 77.5
class id:  111,    class name:                corn_field,    class data number:   146,    accuracy: 47.5
class id:  112,    class name:                    corral,    class data number:    22,    accuracy: 20.0
class id:  113,    class name:                  corridor,    class data number:   141,    accuracy: 87.5
class id:  114,    class name:            cottage_garden,    class data number:    80,    accuracy: 42.5
class id:  115,    class name:                courthouse,    class data number:   168,    accuracy: 65.0
class id:  116,    class name:                 courtroom,    class data number:    31,    accuracy: 47.5
class id:  117,    class name:                 courtyard,    class data number:     2,    accuracy: 0.0
class id:  118,    class name:                  exterior,    class data number:   282,    accuracy: 80.0
class id:  119,    class name:                     creek,    class data number:   271,    accuracy: 67.5
class id:  120,    class name:                  crevasse,    class data number:    45,    accuracy: 75.0
class id:  121,    class name:                 crosswalk,    class data number:    54,    accuracy: 55.0
class id:  122,    class name:                    office,    class data number:    27,    accuracy: 55.0
class id:  123,    class name:                       dam,    class data number:    34,    accuracy: 65.0
class id:  124,    class name:              delicatessen,    class data number:    87,    accuracy: 10.0
class id:  125,    class name:           dentists_office,    class data number:    42,    accuracy: 52.5
class id:  126,    class name:                      sand,    class data number:   130,    accuracy: 80.0
class id:  127,    class name:                vegetation,    class data number:    60,    accuracy: 60.0
class id:  128,    class name:                    indoor,    class data number:    40,    accuracy: 17.5
class id:  129,    class name:                   outdoor,    class data number:    13,    accuracy: 12.5
class id:  130,    class name:                      home,    class data number:    13,    accuracy: 2.5
class id:  131,    class name:                   vehicle,    class data number:    61,    accuracy: 57.5
class id:  132,    class name:                dining_car,    class data number:    88,    accuracy: 52.5
class id:  133,    class name:               dining_room,    class data number:   650,    accuracy: 67.5
class id:  134,    class name:               discotheque,    class data number:    25,    accuracy: 67.5
class id:  135,    class name:                      dock,    class data number:    20,    accuracy: 35.0
class id:  136,    class name:                   outdoor,    class data number:   272,    accuracy: 77.5
class id:  137,    class name:                 dorm_room,    class data number:    42,    accuracy: 27.5
class id:  138,    class name:                  driveway,    class data number:   111,    accuracy: 67.5
class id:  139,    class name:                   outdoor,    class data number:    18,    accuracy: 27.5
class id:  140,    class name:                 drugstore,    class data number:    18,    accuracy: 15.0
class id:  141,    class name:     electrical_substation,    class data number:     3,    accuracy: 5.0
class id:  142,    class name:                      door,    class data number:    26,    accuracy: 47.5
class id:  143,    class name:                  interior,    class data number:    19,    accuracy: 35.0
class id:  144,    class name:            elevator_shaft,    class data number:    15,    accuracy: 42.5
class id:  145,    class name:               engine_room,    class data number:    18,    accuracy: 45.0
class id:  146,    class name:                    indoor,    class data number:   178,    accuracy: 82.5
class id:  147,    class name:                excavation,    class data number:   142,    accuracy: 67.5
class id:  148,    class name:                    indoor,    class data number:     3,    accuracy: 0.0
class id:  149,    class name:                   fairway,    class data number:    98,    accuracy: 35.0
class id:  150,    class name:       fastfood_restaurant,    class data number:    44,    accuracy: 35.0
class id:  151,    class name:                cultivated,    class data number:   148,    accuracy: 52.5
class id:  152,    class name:                      wild,    class data number:    91,    accuracy: 42.5
class id:  153,    class name:               fire_escape,    class data number:   118,    accuracy: 62.5
class id:  154,    class name:              fire_station,    class data number:   112,    accuracy: 67.5
class id:  155,    class name:                    indoor,    class data number:     9,    accuracy: 12.5
class id:  156,    class name:                  fishpond,    class data number:    43,    accuracy: 50.0
class id:  157,    class name:                    indoor,    class data number:    34,    accuracy: 70.0
class id:  158,    class name:                food_court,    class data number:     4,    accuracy: 0.0
class id:  159,    class name:                 broadleaf,    class data number:   102,    accuracy: 47.5
class id:  160,    class name:                needleleaf,    class data number:    39,    accuracy: 27.5
class id:  161,    class name:               forest_path,    class data number:   243,    accuracy: 77.5
class id:  162,    class name:               forest_road,    class data number:    33,    accuracy: 32.5
class id:  163,    class name:             formal_garden,    class data number:    93,    accuracy: 60.0
class id:  164,    class name:                  fountain,    class data number:    69,    accuracy: 65.0
class id:  165,    class name:                    galley,    class data number:   102,    accuracy: 62.5
class id:  166,    class name:                 game_room,    class data number:    75,    accuracy: 15.0
class id:  167,    class name:                    indoor,    class data number:    45,    accuracy: 37.5
class id:  168,    class name:              garbage_dump,    class data number:     2,    accuracy: 0.0
class id:  169,    class name:               gas_station,    class data number:   139,    accuracy: 77.5
class id:  170,    class name:                  exterior,    class data number:   424,    accuracy: 75.0
class id:  171,    class name:                    indoor,    class data number:     3,    accuracy: 0.0
class id:  172,    class name:                   outdoor,    class data number:    39,    accuracy: 22.5
class id:  173,    class name:                 gift_shop,    class data number:    26,    accuracy: 10.0
class id:  174,    class name:               golf_course,    class data number:   430,    accuracy: 72.5
class id:  175,    class name:                    indoor,    class data number:   157,    accuracy: 82.5
class id:  176,    class name:                   outdoor,    class data number:    24,    accuracy: 62.5
class id:  177,    class name:                    indoor,    class data number:   165,    accuracy: 82.5
class id:  178,    class name:                    indoor,    class data number:    66,    accuracy: 60.0
class id:  179,    class name:                   outdoor,    class data number:    21,    accuracy: 40.0
class id:  180,    class name:                    harbor,    class data number:    92,    accuracy: 65.0
class id:  181,    class name:                  hayfield,    class data number:    28,    accuracy: 52.5
class id:  182,    class name:                  heliport,    class data number:     3,    accuracy: 0.0
class id:  183,    class name:               herb_garden,    class data number:    75,    accuracy: 27.5
class id:  184,    class name:                   highway,    class data number:   442,    accuracy: 87.5
class id:  185,    class name:                      hill,    class data number:    28,    accuracy: 20.0
class id:  186,    class name:               home_office,    class data number:    49,    accuracy: 32.5
class id:  187,    class name:                  hospital,    class data number:    14,    accuracy: 12.5
class id:  188,    class name:             hospital_room,    class data number:    64,    accuracy: 37.5
class id:  189,    class name:                hot_spring,    class data number:    12,    accuracy: 40.0
class id:  190,    class name:                   outdoor,    class data number:    87,    accuracy: 77.5
class id:  191,    class name:                   outdoor,    class data number:    14,    accuracy: 5.0
class id:  192,    class name:                hotel_room,    class data number:   237,    accuracy: 22.5
class id:  193,    class name:                     house,    class data number:   516,    accuracy: 60.0
class id:  194,    class name:                   outdoor,    class data number:     4,    accuracy: 2.5
class id:  195,    class name:          ice_cream_parlor,    class data number:    10,    accuracy: 5.0
class id:  196,    class name:                  ice_floe,    class data number:    67,    accuracy: 65.0
class id:  197,    class name:                 ice_shelf,    class data number:    22,    accuracy: 42.5
class id:  198,    class name:                    indoor,    class data number:    94,    accuracy: 72.5
class id:  199,    class name:                   outdoor,    class data number:    74,    accuracy: 75.0
class id:  200,    class name:                   iceberg,    class data number:   182,    accuracy: 77.5
class id:  201,    class name:                     igloo,    class data number:    42,    accuracy: 67.5
class id:  202,    class name:           industrial_area,    class data number:    22,    accuracy: 30.0
class id:  203,    class name:                   outdoor,    class data number:    14,    accuracy: 5.0
class id:  204,    class name:                     islet,    class data number:   140,    accuracy: 80.0
class id:  205,    class name:                    indoor,    class data number:     9,    accuracy: 7.5
class id:  206,    class name:                    indoor,    class data number:    58,    accuracy: 45.0
class id:  207,    class name:                 jail_cell,    class data number:    54,    accuracy: 60.0
class id:  208,    class name:              jewelry_shop,    class data number:    46,    accuracy: 15.0
class id:  209,    class name:                    kasbah,    class data number:    50,    accuracy: 55.0
class id:  210,    class name:                    indoor,    class data number:    37,    accuracy: 70.0
class id:  211,    class name:                   outdoor,    class data number:    67,    accuracy: 60.0
class id:  212,    class name:    kindergarden_classroom,    class data number:    28,    accuracy: 32.5
class id:  213,    class name:                   kitchen,    class data number:   990,    accuracy: 95.0
class id:  214,    class name:               kitchenette,    class data number:    22,    accuracy: 12.5
class id:  215,    class name:                   outdoor,    class data number:    26,    accuracy: 80.0
class id:  216,    class name:                   natural,    class data number:   200,    accuracy: 47.5
class id:  217,    class name:                  landfill,    class data number:    74,    accuracy: 90.0
class id:  218,    class name:              landing_deck,    class data number:   127,    accuracy: 95.0
class id:  219,    class name:                laundromat,    class data number:   134,    accuracy: 92.5
class id:  220,    class name:              lecture_room,    class data number:    57,    accuracy: 25.0
class id:  221,    class name:                    indoor,    class data number:   157,    accuracy: 65.0
class id:  222,    class name:                   outdoor,    class data number:     3,    accuracy: 0.0
class id:  223,    class name:                   outdoor,    class data number:    25,    accuracy: 65.0
class id:  224,    class name:               lift_bridge,    class data number:    19,    accuracy: 45.0
class id:  225,    class name:                lighthouse,    class data number:   236,    accuracy: 80.0
class id:  226,    class name:        limousine_interior,    class data number:     7,    accuracy: 27.5
class id:  227,    class name:               living_room,    class data number:  1359,    accuracy: 77.5
class id:  228,    class name:                     lobby,    class data number:   220,    accuracy: 37.5
class id:  229,    class name:              lock_chamber,    class data number:     3,    accuracy: 0.0
class id:  230,    class name:               locker_room,    class data number:   162,    accuracy: 65.0
class id:  231,    class name:                   mansion,    class data number:   214,    accuracy: 35.0
class id:  232,    class name:         manufactured_home,    class data number:   102,    accuracy: 75.0
class id:  233,    class name:                    indoor,    class data number:     3,    accuracy: 0.0
class id:  234,    class name:                   outdoor,    class data number:   446,    accuracy: 77.5
class id:  235,    class name:                     marsh,    class data number:    58,    accuracy: 37.5
class id:  236,    class name:          martial_arts_gym,    class data number:    52,    accuracy: 72.5
class id:  237,    class name:                 mausoleum,    class data number:    63,    accuracy: 30.0
class id:  238,    class name:                    medina,    class data number:     4,    accuracy: 7.5
class id:  239,    class name:                     water,    class data number:     8,    accuracy: 12.5
class id:  240,    class name:                   outdoor,    class data number:    49,    accuracy: 7.5
class id:  241,    class name:                    indoor,    class data number:    16,    accuracy: 7.5
class id:  242,    class name:                   outdoor,    class data number:   264,    accuracy: 80.0
class id:  243,    class name:                     motel,    class data number:    94,    accuracy: 35.0
class id:  244,    class name:                  mountain,    class data number:   253,    accuracy: 55.0
class id:  245,    class name:            mountain_snowy,    class data number:   384,    accuracy: 82.5
class id:  246,    class name:                    indoor,    class data number:    73,    accuracy: 50.0
class id:  247,    class name:                    indoor,    class data number:    91,    accuracy: 17.5
class id:  248,    class name:               music_store,    class data number:     8,    accuracy: 27.5
class id:  249,    class name:              music_studio,    class data number:   164,    accuracy: 80.0
class id:  250,    class name:                   outdoor,    class data number:    12,    accuracy: 20.0
class id:  251,    class name:                   nursery,    class data number:    92,    accuracy: 80.0
class id:  252,    class name:                oast_house,    class data number:     8,    accuracy: 20.0
class id:  253,    class name:                   outdoor,    class data number:    63,    accuracy: 72.5
class id:  254,    class name:                     ocean,    class data number:    81,    accuracy: 72.5
class id:  255,    class name:                    office,    class data number:    24,    accuracy: 10.0
class id:  256,    class name:           office_building,    class data number:   122,    accuracy: 40.0
class id:  257,    class name:                   outdoor,    class data number:    38,    accuracy: 40.0
class id:  258,    class name:                    oilrig,    class data number:    68,    accuracy: 82.5
class id:  259,    class name:            operating_room,    class data number:    67,    accuracy: 62.5
class id:  260,    class name:                   orchard,    class data number:   163,    accuracy: 62.5
class id:  261,    class name:                   outdoor,    class data number:   128,    accuracy: 62.5
class id:  262,    class name:                    pagoda,    class data number:    62,    accuracy: 75.0
class id:  263,    class name:                    palace,    class data number:    76,    accuracy: 32.5
class id:  264,    class name:                    pantry,    class data number:   282,    accuracy: 90.0
class id:  265,    class name:                      park,    class data number:    28,    accuracy: 27.5
class id:  266,    class name:                    indoor,    class data number:     2,    accuracy: 0.0
class id:  267,    class name:                   outdoor,    class data number:     9,    accuracy: 15.0
class id:  268,    class name:               parking_lot,    class data number:   206,    accuracy: 65.0
class id:  269,    class name:                    parlor,    class data number:   140,    accuracy: 42.5
class id:  270,    class name:                   pasture,    class data number:   309,    accuracy: 60.0
class id:  271,    class name:                     patio,    class data number:    13,    accuracy: 15.0
class id:  272,    class name:                  pavilion,    class data number:    30,    accuracy: 45.0
class id:  273,    class name:                  pharmacy,    class data number:    38,    accuracy: 50.0
class id:  274,    class name:               phone_booth,    class data number:   132,    accuracy: 90.0
class id:  275,    class name:        physics_laboratory,    class data number:    40,    accuracy: 25.0
class id:  276,    class name:               picnic_area,    class data number:    31,    accuracy: 20.0
class id:  277,    class name:                    indoor,    class data number:    75,    accuracy: 70.0
class id:  278,    class name:                   outdoor,    class data number:    12,    accuracy: 27.5
class id:  279,    class name:                playground,    class data number:   481,    accuracy: 95.0
class id:  280,    class name:                  playroom,    class data number:    88,    accuracy: 70.0
class id:  281,    class name:                     plaza,    class data number:    79,    accuracy: 40.0
class id:  282,    class name:                    indoor,    class data number:    14,    accuracy: 25.0
class id:  283,    class name:                   outdoor,    class data number:    28,    accuracy: 70.0
class id:  284,    class name:                      pond,    class data number:    50,    accuracy: 10.0
class id:  285,    class name:             establishment,    class data number:    18,    accuracy: 22.5
class id:  286,    class name:                      home,    class data number:   181,    accuracy: 90.0
class id:  287,    class name:                   outdoor,    class data number:    27,    accuracy: 25.0
class id:  288,    class name:            promenade_deck,    class data number:     3,    accuracy: 0.0
class id:  289,    class name:                    indoor,    class data number:    26,    accuracy: 5.0
class id:  290,    class name:                    pulpit,    class data number:    27,    accuracy: 47.5
class id:  291,    class name:             putting_green,    class data number:    18,    accuracy: 7.5
class id:  292,    class name:                racecourse,    class data number:    12,    accuracy: 30.0
class id:  293,    class name:                   raceway,    class data number:    30,    accuracy: 62.5
class id:  294,    class name:                      raft,    class data number:    74,    accuracy: 87.5
class id:  295,    class name:            railroad_track,    class data number:    19,    accuracy: 32.5
class id:  296,    class name:                rainforest,    class data number:    81,    accuracy: 47.5
class id:  297,    class name:                 reception,    class data number:    55,    accuracy: 40.0
class id:  298,    class name:           recreation_room,    class data number:    13,    accuracy: 0.0
class id:  299,    class name:  residential_neighborhood,    class data number:     8,    accuracy: 0.0
class id:  300,    class name:                restaurant,    class data number:   420,    accuracy: 35.0
class id:  301,    class name:        restaurant_kitchen,    class data number:    22,    accuracy: 20.0
class id:  302,    class name:          restaurant_patio,    class data number:   208,    accuracy: 47.5
class id:  303,    class name:                rice_paddy,    class data number:     2,    accuracy: 0.0
class id:  304,    class name:              riding_arena,    class data number:     6,    accuracy: 40.0
class id:  305,    class name:                     river,    class data number:    79,    accuracy: 12.5
class id:  306,    class name:                 rock_arch,    class data number:     8,    accuracy: 45.0
class id:  307,    class name:               rope_bridge,    class data number:     9,    accuracy: 40.0
class id:  308,    class name:                      ruin,    class data number:   139,    accuracy: 57.5
class id:  309,    class name:                    runway,    class data number:    50,    accuracy: 62.5
class id:  310,    class name:                   sandbar,    class data number:    24,    accuracy: 27.5
class id:  311,    class name:                   sandbox,    class data number:    64,    accuracy: 77.5
class id:  312,    class name:                     sauna,    class data number:    49,    accuracy: 95.0
class id:  313,    class name:               schoolhouse,    class data number:    26,    accuracy: 7.5
class id:  314,    class name:                 sea_cliff,    class data number:    18,    accuracy: 25.0
class id:  315,    class name:               server_room,    class data number:    12,    accuracy: 32.5
class id:  316,    class name:                      shed,    class data number:   115,    accuracy: 62.5
class id:  317,    class name:                 shoe_shop,    class data number:    51,    accuracy: 35.0
class id:  318,    class name:                 shopfront,    class data number:   378,    accuracy: 90.0
class id:  319,    class name:                    indoor,    class data number:   112,    accuracy: 65.0
class id:  320,    class name:                    shower,    class data number:    18,    accuracy: 30.0
class id:  321,    class name:                 skatepark,    class data number:     2,    accuracy: 0.0
class id:  322,    class name:                 ski_lodge,    class data number:     9,    accuracy: 0.0
class id:  323,    class name:                ski_resort,    class data number:    55,    accuracy: 47.5
class id:  324,    class name:                 ski_slope,    class data number:    98,    accuracy: 60.0
class id:  325,    class name:                       sky,    class data number:    43,    accuracy: 85.0
class id:  326,    class name:                skyscraper,    class data number:   423,    accuracy: 82.5
class id:  327,    class name:                      slum,    class data number:    57,    accuracy: 65.0
class id:  328,    class name:                 snowfield,    class data number:    56,    accuracy: 35.0
class id:  329,    class name:              squash_court,    class data number:    12,    accuracy: 52.5
class id:  330,    class name:                    stable,    class data number:    39,    accuracy: 60.0
class id:  331,    class name:                  baseball,    class data number:   110,    accuracy: 97.5
class id:  332,    class name:                  football,    class data number:    13,    accuracy: 27.5
class id:  333,    class name:                    indoor,    class data number:    16,    accuracy: 12.5
class id:  334,    class name:                 staircase,    class data number:   350,    accuracy: 90.0
class id:  335,    class name:                    street,    class data number:   217,    accuracy: 75.0
class id:  336,    class name:           subway_interior,    class data number:   216,    accuracy: 92.5
class id:  337,    class name:                  platform,    class data number:   253,    accuracy: 70.0
class id:  338,    class name:               supermarket,    class data number:   166,    accuracy: 70.0
class id:  339,    class name:                 sushi_bar,    class data number:    14,    accuracy: 2.5
class id:  340,    class name:                     swamp,    class data number:    28,    accuracy: 45.0
class id:  341,    class name:                    indoor,    class data number:    96,    accuracy: 77.5
class id:  342,    class name:                   outdoor,    class data number:   199,    accuracy: 72.5
class id:  343,    class name:                    indoor,    class data number:    20,    accuracy: 2.5
class id:  344,    class name:                   outdoor,    class data number:    31,    accuracy: 27.5
class id:  345,    class name:         television_studio,    class data number:    61,    accuracy: 52.5
class id:  346,    class name:                 east_asia,    class data number:    63,    accuracy: 47.5
class id:  347,    class name:                south_asia,    class data number:    36,    accuracy: 42.5
class id:  348,    class name:                    indoor,    class data number:    15,    accuracy: 55.0
class id:  349,    class name:                   outdoor,    class data number:   200,    accuracy: 90.0
class id:  350,    class name:                   outdoor,    class data number:    76,    accuracy: 57.5
class id:  351,    class name:          indoor_procenium,    class data number:    85,    accuracy: 67.5
class id:  352,    class name:              indoor_seats,    class data number:     8,    accuracy: 15.0
class id:  353,    class name:                thriftshop,    class data number:     2,    accuracy: 0.0
class id:  354,    class name:               throne_room,    class data number:    10,    accuracy: 35.0
class id:  355,    class name:              ticket_booth,    class data number:    21,    accuracy: 12.5
class id:  356,    class name:                toll_plaza,    class data number:     4,    accuracy: 0.0
class id:  357,    class name:            topiary_garden,    class data number:     9,    accuracy: 32.5
class id:  358,    class name:                     tower,    class data number:   364,    accuracy: 57.5
class id:  359,    class name:                   toyshop,    class data number:   175,    accuracy: 57.5
class id:  360,    class name:                   outdoor,    class data number:    24,    accuracy: 72.5
class id:  361,    class name:             train_railway,    class data number:   108,    accuracy: 87.5
class id:  362,    class name:                  platform,    class data number:    14,    accuracy: 25.0
class id:  363,    class name:                 tree_farm,    class data number:    13,    accuracy: 12.5
class id:  364,    class name:                tree_house,    class data number:    10,    accuracy: 22.5
class id:  365,    class name:                    trench,    class data number:     6,    accuracy: 10.0
class id:  366,    class name:                coral_reef,    class data number:   238,    accuracy: 100.0
class id:  367,    class name:              utility_room,    class data number:    28,    accuracy: 42.5
class id:  368,    class name:                    valley,    class data number:    30,    accuracy: 22.5
class id:  369,    class name:              van_interior,    class data number:    21,    accuracy: 40.0
class id:  370,    class name:          vegetable_garden,    class data number:   240,    accuracy: 60.0
class id:  371,    class name:                   veranda,    class data number:     2,    accuracy: 0.0
class id:  372,    class name:      veterinarians_office,    class data number:    26,    accuracy: 62.5
class id:  373,    class name:                   viaduct,    class data number:    94,    accuracy: 72.5
class id:  374,    class name:                videostore,    class data number:    18,    accuracy: 30.0
class id:  375,    class name:                   village,    class data number:    25,    accuracy: 32.5
class id:  376,    class name:                  vineyard,    class data number:   213,    accuracy: 70.0
class id:  377,    class name:                   volcano,    class data number:    18,    accuracy: 52.5
class id:  378,    class name:                    indoor,    class data number:     7,    accuracy: 15.0
class id:  379,    class name:                   outdoor,    class data number:    25,    accuracy: 37.5
class id:  380,    class name:              waiting_room,    class data number:   228,    accuracy: 55.0
class id:  381,    class name:                    indoor,    class data number:   409,    accuracy: 70.0
class id:  382,    class name:               water_tower,    class data number:   180,    accuracy: 67.5
class id:  383,    class name:                     block,    class data number:    68,    accuracy: 55.0
class id:  384,    class name:                       fan,    class data number:    64,    accuracy: 80.0
class id:  385,    class name:                    plunge,    class data number:     6,    accuracy: 5.0
class id:  386,    class name:             watering_hole,    class data number:     7,    accuracy: 15.0
class id:  387,    class name:                      wave,    class data number:   106,    accuracy: 92.5
class id:  388,    class name:                   wet_bar,    class data number:    24,    accuracy: 2.5
class id:  389,    class name:               wheat_field,    class data number:    91,    accuracy: 65.0
class id:  390,    class name:                 wind_farm,    class data number:   123,    accuracy: 90.0
class id:  391,    class name:                  windmill,    class data number:   190,    accuracy: 92.5
class id:  392,    class name:            barrel_storage,    class data number:    90,    accuracy: 85.0
